player_id,player_name,season,week,opponent_team,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,fantasy_points_ppr,fantasy_points
00-0030578,C.Patterson,2020,6,CAR,1,1.0,0,0.0,0.0,0.0,-0.4418687338475138,0,1,1,8.0,0,1.9,0.9
00-0030578,C.Patterson,2020,7,LA,3,1.0,0,0.0,0.0,0.0,-4.95410089707002,0,3,4,11.0,0,4.2,1.2000000000000002
00-0030578,C.Patterson,2020,8,NO,1,4.0,0,0.0,0.0,0.0,-0.25148065423127264,0,2,2,1.0,0,2.5,0.5
00-0030578,C.Patterson,2020,9,TEN,3,13.0,0,0.0,0.0,0.0,0.1349611913319677,0,4,4,27.0,0,8.0,4.0
00-0030578,C.Patterson,2020,10,MIN,12,30.0,0,0.0,0.0,1.0,-3.9532071780995466,0,2,2,19.0,0,12.9,10.9
00-0030578,C.Patterson,2020,12,GB,2,8.0,0,0.0,0.0,0.0,-0.49036341276951134,0,0,0,0.0,0,0.8,0.8
00-0030578,C.Patterson,2020,13,DET,10,59.0,1,0.0,0.0,5.0,2.355762391409371,0,1,2,4.0,0,13.3,12.3
00-0030578,C.Patterson,2020,14,HOU,6,26.0,0,0.0,0.0,1.0,0.666602305311244,0,0,1,0.0,0,2.6,2.6
00-0030578,C.Patterson,2020,15,MIN,1,3.0,0,0.0,0.0,0.0,-0.31046626484021544,0,1,1,4.0,0,1.7000000000000002,0.7000000000000001
00-0030578,C.Patterson,2020,17,GB,4,18.0,0,0.0,0.0,0.0,0.25932076649041846,0,0,0,0.0,0,1.8,1.8
00-0030578,C.Patterson,2020,18,NO,1,2.0,0,0.0,0.0,0.0,-0.5536688161082566,0,0,0,0.0,0,0.2,0.2
00-0031045,C.Hyde,2020,1,ATL,7,23.0,1,0.0,0.0,3.0,0.4747168443282135,0,0,0,0.0,0,8.3,8.3
00-0031045,C.Hyde,2020,2,NE,5,22.0,0,0.0,0.0,2.0,0.04229896026663482,0,2,2,15.0,0,5.7,3.7
00-0031045,C.Hyde,2020,3,DAL,4,12.0,0,0.0,0.0,0.0,-1.7003522953018546,0,1,1,11.0,0,3.3000000000000003,2.3000000000000003
00-0031045,C.Hyde,2020,7,ARI,15,68.0,1,0.0,0.0,5.0,2.6391402513254434,0,3,4,8.0,0,16.6,13.600000000000001
00-0031045,C.Hyde,2020,11,ARI,14,79.0,1,0.0,0.0,5.0,3.147182082873769,0,2,3,16.0,0,17.5,15.5
00-0031045,C.Hyde,2020,12,PHI,15,22.0,0,0.0,0.0,1.0,-7.1935548989821365,0,2,3,7.0,0,4.9,2.9000000000000004
00-0031045,C.Hyde,2020,13,NYG,2,1.0,0,0.0,0.0,0.0,-1.0167209431529045,0,3,3,10.0,0,4.1,1.1
00-0031045,C.Hyde,2020,14,NYJ,15,66.0,0,0.0,0.0,2.0,0.14610743650700897,0,0,0,0.0,0,6.6000000000000005,6.6000000000000005
00-0031045,C.Hyde,2020,15,WAS,2,55.0,1,0.0,0.0,1.0,4.071330934530124,0,2,3,8.0,0,14.3,12.3
00-0031045,C.Hyde,2020,16,LA,2,8.0,0,0.0,0.0,1.0,0.05508704826934263,0,1,1,18.0,0,3.6,2.6
00-0031045,C.Hyde,2020,18,LA,4,5.0,0,0.0,0.0,1.0,-1.5576967049855739,0,0,0,0.0,0,0.5,0.5
00-0031062,J.White,2020,1,MIA,5,22.0,0,0.0,0.0,1.0,-0.2785622523515485,0,3,3,30.0,0,8.2,5.2
00-0031062,J.White,2020,4,KC,3,21.0,0,0.0,0.0,2.0,0.9148044818430208,0,7,8,38.0,0,12.9,5.9
00-0031062,J.White,2020,6,DEN,4,8.0,0,0.0,0.0,0.0,-2.6713190263253637,0,8,9,65.0,0,15.3,7.300000000000001
00-0031062,J.White,2020,7,SF,0,0.0,0,0.0,0.0,0.0,,0,1,1,3.0,0,1.3,0.30000000000000004
00-0031062,J.White,2020,8,BUF,2,0.0,0,0.0,0.0,0.0,-2.3290633079595864,0,2,4,35.0,0,5.5,3.5
